cliente_id,edad,genero,region,antiguedad_dias,nivel_membresia
1,56,M,Oeste,1240,Bronce
2,46,F,Centro,407,Plata
3,32,M,Sur,399,Plata
4,60,F,Este,715,Plata
5,25,F,Centro,704,Bronce
6,38,F,Centro,761,Bronce
7,56,M,Oeste,499,Oro
8,36,M,Centro,1778,Bronce
9,40,M,Sur,1489,Plata
10,28,F,Sur,1715,Plata
11,28,F,Norte,974,Plata
12,41,Otro,Sur,1755,Bronce
13,53,M,Centro,82,Bronce
14,57,F,Sur,604,Plata
15,41,F,Oeste,1711,Oro
16,20,M,Norte,1775,Oro
17,39,M,Centro,772,Bronce
18,19,F,Norte,903,Bronce
19,41,F,Centro,365,Oro
20,61,F,Oeste,163,Plata
21,47,M,Norte,1072,Oro
22,55,F,Este,511,Bronce
23,19,M,Centro,1353,Plata
24,38,M,Este,116,Plata
25,50,M,Norte,941,Plata
26,29,F,Este,337,Bronce
27,39,F,Este,881,Bronce
28,61,F,Norte,737,Plata
29,42,M,Oeste,840,Bronce
30,44,F,Este,147,Bronce
31,59,M,Este,1599,Oro
32,45,F,Oeste,1347,Bronce
33,33,M,Este,443,Plata
34,32,M,Este,837,Bronce
35,64,M,Este,1037,Plata
36,61,M,Sur,943,Oro
37,20,F,Oeste,1518,Bronce
38,54,F,Este,1725,Bronce
39,24,M,Oeste,287,Bronce
40,38,F,Centro,720,Bronce
41,26,M,Centro,1138,Plata
42,56,F,Este,480,Oro
43,35,F,Oeste,22,Bronce
44,21,F,Oeste,1373,Bronce
45,42,M,Oeste,1750,Bronce
46,31,F,Sur,683,Plata
47,26,F,Centro,1590,Bronce
48,43,M,Oeste,906,Plata
49,19,M,Oeste,320,Plata
50,37,F,Sur,126,Plata
51,45,F,Sur,277,Bronce
52,64,F,Oeste,1228,Plata
53,24,F,Norte,194,Bronce
54,61,F,Oeste,1705,Bronce
55,25,M,Oeste,1688,Oro
56,64,M,Sur,1571,Plata
57,52,M,Sur,696,Bronce
58,31,F,Oeste,1310,Bronce
59,34,M,Oeste,57,Bronce
60,53,F,Oeste,1758,Bronce
61,57,F,Sur,1327,Bronce
62,21,F,Oeste,1187,Bronce
63,19,M,Oeste,19,Bronce
64,23,F,Este,1394,Plata
65,59,M,Norte,264,Plata
66,21,F,Centro,794,Plata
67,46,M,Norte,113,Bronce
68,35,M,Este,1512,Oro
69,43,F,Centro,1351,Plata
70,61,M,Oeste,542,Plata
71,51,M,Este,647,Plata
72,27,F,Oeste,579,Oro
73,53,F,Sur,1089,Plata
74,31,F,Este,1316,Bronce
75,48,F,Sur,25,Plata
76,32,F,Este,1573,Plata
77,25,M,Este,1,Plata
78,31,M,Sur,911,Plata
79,40,M,Centro,1573,Bronce
80,57,F,Norte,141,Bronce
81,38,F,Oeste,1768,Oro
82,33,M,Este,648,Plata
83,62,M,Oeste,188,Plata
84,35,F,Sur,1152,Bronce
85,64,M,Oeste,201,Bronce
86,41,F,Sur,1151,Oro
87,43,F,Oeste,257,Plata
88,42,F,Norte,1700,Plata
89,62,M,Norte,547,Bronce
90,58,F,Norte,194,Plata
91,46,F,Norte,703,Bronce
92,32,F,Norte,1128,Plata
93,62,F,Norte,1559,Bronce
94,18,F,Sur,1289,Bronce
95,42,F,Este,802,Plata
96,24,M,Oeste,942,Oro
97,26,F,Norte,1408,Bronce
98,41,F,Sur,1284,Plata
99,18,M,Sur,414,Bronce
100,61,F,Sur,1382,Bronce
101,25,F,Este,1099,Bronce
102,41,F,Oeste,1379,Bronce
103,28,M,Este,1608,Plata
104,34,M,Centro,1795,Bronce
105,25,Otro,Sur,910,Bronce
106,52,F,Centro,188,Oro
107,52,M,Norte,1709,Bronce
108,50,F,Norte,1314,Plata
109,22,F,Este,45,Bronce
110,59,F,Oeste,1597,Plata
111,56,F,Centro,83,Bronce
112,58,M,Oeste,1147,Bronce
113,45,M,Este,358,Bronce
114,24,M,Norte,1552,Bronce
115,26,F,Oeste,1090,Bronce
116,25,M,Oeste,936,Plata
117,29,M,Norte,1681,Oro
118,51,M,Centro,375,Plata
119,50,F,Norte,162,Plata
