cliente_id,edad,genero,region,antiguedad_dias,nivel_membresia,paginas_vistas_7d,tiempo_sesion_min,visitas_7d,busquedas_7d,items_carrito,abandono_carrito,categoria_favorita,compras_30d,compras_90d,ticket_promedio,devolucion_30d,calificacion_promedio,descuento_usado,comprara,genero_cod,membresia_cod,region_cod,categoria_cod
1,56,M,Oeste,1240,Bronce,91,19.43,20,38,8,1,Ropa,4,3,60.87,1,4.0,1,1,0,0,4,1
2,46,F,Centro,407,Plata,52,6.86,16,35,10,0,Deportes,0,18,248.04,0,1.5,1,1,1,1,2,3
3,32,M,Sur,399,Plata,105,2.39,14,29,8,0,Ropa,5,19,160.45,0,2.5,1,1,0,1,1,1
4,60,F,Este,715,Plata,70,3.47,5,22,5,0,Deportes,4,6,42.4,0,3.3,1,0,1,1,3,3
5,25,F,Centro,704,Bronce,1,5.64,15,18,6,0,Deportes,0,7,50.86,0,3.9,1,1,1,0,2,3
6,38,F,Centro,761,Bronce,105,15.16,16,11,1,1,Libros,4,16,54.04,0,1.0,0,0,1,0,2,4
7,56,M,Oeste,499,Oro,23,7.62,2,14,14,0,Libros,3,12,88.72,0,2.0,1,0,0,2,4,4
8,36,M,Centro,1778,Bronce,3,0.1,9,30,8,0,Libros,6,10,37.04,1,3.2,0,1,0,0,2,4
9,40,M,Sur,1489,Plata,107,11.12,4,42,11,0,Deportes,1,0,288.55,1,3.1,0,0,0,1,1,3
10,28,F,Sur,1715,Plata,18,38.17,13,36,12,1,Deportes,4,1,85.06,0,3.6,1,0,1,1,1,3
11,28,F,Norte,974,Plata,25,25.08,25,36,0,0,Ropa,3,16,50.79,0,2.2,1,0,1,1,0,1
12,41,Otro,Sur,1755,Bronce,74,26.16,28,14,0,0,Hogar,6,4,92.85,0,3.2,0,1,2,0,1,2
13,53,M,Centro,82,Bronce,39,23.78,20,28,2,0,Libros,6,5,50.26,0,1.8,1,0,0,0,2,4
14,57,F,Sur,604,Plata,49,5.87,12,49,11,1,Ropa,2,6,146.21,0,1.7,1,1,1,1,1,1
15,41,F,Oeste,1711,Oro,42,21.73,25,42,5,0,Ropa,7,14,77.12,0,3.3,1,1,1,2,4,1
16,20,M,Norte,1775,Oro,74,2.32,5,25,4,1,Electronica,0,18,13.43,1,3.7,1,1,0,2,0,0
17,39,M,Centro,772,Bronce,108,16.08,11,43,14,1,Libros,2,15,25.56,0,1.5,0,1,0,0,2,4
18,19,F,Norte,903,Bronce,66,15.39,25,1,1,0,Ropa,7,12,170.19,0,1.5,1,1,1,0,0,1
19,41,F,Centro,365,Oro,11,0.39,7,19,8,1,Electronica,7,4,76.21,0,3.3,1,1,1,2,2,0
20,61,F,Oeste,163,Plata,66,23.27,4,14,13,0,Libros,5,2,250.21,0,2.1,1,1,1,1,4,4
21,47,M,Norte,1072,Oro,105,35.03,29,3,12,1,Deportes,3,2,16.01,0,2.6,1,1,0,2,0,3
22,55,F,Este,511,Bronce,26,4.67,14,21,9,0,Electronica,2,18,37.99,0,2.6,0,0,1,0,3,0
23,19,M,Centro,1353,Plata,112,25.1,26,49,13,0,Deportes,2,13,27.21,0,1.7,0,1,0,1,2,3
24,38,M,Este,116,Plata,53,1.29,15,37,3,0,Hogar,7,15,74.57,0,1.0,1,1,0,1,3,2
25,50,M,Norte,941,Plata,65,13.74,0,22,3,0,Hogar,6,16,48.6,0,4.4,0,0,0,1,0,2
26,29,F,Este,337,Bronce,48,9.97,15,25,4,1,Hogar,3,3,23.69,0,3.9,1,0,1,0,3,2
27,39,F,Este,881,Bronce,15,11.84,4,10,14,0,Hogar,6,12,92.35,0,3.8,0,1,1,0,3,2
28,61,F,Norte,737,Plata,1,39.1,2,27,7,1,Ropa,1,7,71.48,0,3.2,0,0,1,1,0,1
29,42,M,Oeste,840,Bronce,59,30.76,19,1,9,0,Hogar,4,18,35.7,0,3.8,0,1,0,0,4,2
30,44,F,Este,147,Bronce,53,23.06,14,7,3,1,Ropa,5,4,62.28,0,4.7,1,0,1,0,3,1
31,59,M,Este,1599,Oro,29,4.8,12,28,4,0,Ropa,5,1,119.55,0,3.7,0,1,0,2,3,1
32,45,F,Oeste,1347,Bronce,83,36.43,23,10,11,0,Libros,0,14,28.38,0,2.1,1,1,1,0,4,4
33,33,M,Este,443,Plata,37,1.54,15,36,3,0,Ropa,6,1,37.73,0,3.3,0,0,0,1,3,1
34,32,M,Este,837,Bronce,27,28.79,22,17,13,1,Ropa,4,10,43.99,0,2.8,1,1,0,0,3,1
35,64,M,Este,1037,Plata,24,5.97,10,49,5,0,Hogar,7,12,119.86,0,3.2,0,1,0,1,3,2
36,61,M,Sur,943,Oro,95,0.83,20,13,11,0,Ropa,0,9,160.14,0,3.1,0,1,0,2,1,1
37,20,F,Oeste,1518,Bronce,9,16.6,1,9,2,0,Deportes,5,2,47.78,0,4.4,1,0,1,0,4,3
38,54,F,Este,1725,Bronce,59,3.95,21,34,7,1,Hogar,4,4,38.15,0,3.6,1,1,1,0,3,2
39,24,M,Oeste,287,Bronce,41,4.19,26,8,5,0,Electronica,2,2,186.18,0,1.8,0,1,0,0,4,0
40,38,F,Centro,720,Bronce,39,5.48,5,34,9,0,Hogar,1,5,598.94,0,1.3,1,1,1,0,2,2
41,26,M,Centro,1138,Plata,96,0.99,25,10,4,0,Ropa,7,12,98.78,0,2.7,0,1,0,1,2,1
42,56,F,Este,480,Oro,76,2.92,25,43,12,1,Deportes,2,9,378.26,1,1.1,0,1,1,2,3,3
43,35,F,Oeste,22,Bronce,119,0.08,29,11,14,1,Hogar,1,18,96.3,0,2.3,0,1,1,0,4,2
