cliente_id,paginas_vistas_7d,tiempo_sesion_min,visitas_7d,busquedas_7d,items_carrito,abandono_carrito,categoria_favorita
1,91,19.43,20,38,8,1,Ropa
2,52,6.86,16,35,10,0,Deportes
3,105,2.39,14,29,8,0,Ropa
4,70,3.47,5,22,5,0,Deportes
5,1,5.64,15,18,6,0,Deportes
6,105,15.16,16,11,1,1,Libros
7,23,7.62,2,14,14,0,Libros
8,3,0.1,9,30,8,0,Libros
9,107,11.12,4,42,11,0,Deportes
10,18,38.17,13,36,12,1,Deportes
11,25,25.08,25,36,0,0,Ropa
12,74,26.16,28,14,0,0,Hogar
13,39,23.78,20,28,2,0,Libros
14,49,5.87,12,49,11,1,Ropa
15,42,21.73,25,42,5,0,Ropa
16,74,2.32,5,25,4,1,Electronica
17,108,16.08,11,43,14,1,Libros
18,66,15.39,25,1,1,0,Ropa
19,11,0.39,7,19,8,1,Electronica
20,66,23.27,4,14,13,0,Libros
21,105,35.03,29,3,12,1,Deportes
22,26,4.67,14,21,9,0,Electronica
23,112,25.1,26,49,13,0,Deportes
24,53,1.29,15,37,3,0,Hogar
25,65,13.74,0,22,3,0,Hogar
26,48,9.97,15,25,4,1,Hogar
27,15,11.84,4,10,14,0,Hogar
28,1,39.1,2,27,7,1,Ropa
29,59,30.76,19,1,9,0,Hogar
30,53,23.06,14,7,3,1,Ropa
31,29,4.8,12,28,4,0,Ropa
32,83,36.43,23,10,11,0,Libros
33,37,1.54,15,36,3,0,Ropa
34,27,28.79,22,17,13,1,Ropa
35,24,5.97,10,49,5,0,Hogar
36,95,0.83,20,13,11,0,Ropa
37,9,16.6,1,9,2,0,Deportes
38,59,3.95,21,34,7,1,Hogar
39,41,4.19,26,8,5,0,Electronica
40,39,5.48,5,34,9,0,Hogar
41,96,0.99,25,10,4,0,Ropa
42,76,2.92,25,43,12,1,Deportes
43,119,0.08,29,11,14,1,Hogar
44,104,8.84,26,2,1,0,Deportes
45,117,1.32,5,38,9,0,Electronica
46,41,17.22,13,13,9,0,Electronica
47,46,4.03,24,27,6,0,Libros
48,36,43.12,10,10,1,0,Libros
49,117,30.75,7,38,0,1,Hogar
50,79,5.13,7,24,6,0,Libros
51,108,22.93,0,20,4,1,Deportes
52,21,24.39,20,9,0,0,Libros
53,56,64.65,6,42,14,1,Deportes
54,83,13.66,5,14,3,0,Libros
55,113,1.28,20,18,11,0,Libros
56,106,15.61,7,47,12,0,Libros
57,26,14.71,18,21,3,0,Ropa
58,40,15.26,21,20,9,0,Ropa
59,79,5.5,20,43,6,1,Libros
60,33,29.46,23,31,8,1,Deportes
61,31,48.09,19,49,1,0,Hogar
62,89,3.68,7,22,11,0,Electronica
63,88,1.38,25,12,13,0,Ropa
64,65,3.25,13,4,0,0,Libros
65,11,25.77,17,3,1,0,Electronica
66,39,16.94,24,27,6,1,Ropa
67,72,15.16,28,13,12,1,Hogar
68,75,7.71,15,7,9,1,Deportes
69,89,12.94,8,8,5,0,Libros
70,72,5.52,14,34,3,1,Hogar
71,9,9.73,29,36,0,1,Ropa
72,95,23.63,25,20,12,0,Libros
73,97,59.64,9,17,0,0,Electronica
74,47,40.43,28,32,4,1,Deportes
75,19,40.74,21,7,14,0,Ropa
76,38,7.72,15,48,0,0,Deportes
77,59,9.49,3,16,11,0,Libros
78,65,18.34,19,42,14,0,Hogar
79,64,38.3,12,30,6,0,Deportes
80,50,2.3,21,33,12,1,Electronica
81,35,5.44,4,5,10,1,Ropa
82,23,2.25,21,21,0,1,Electronica
83,117,14.2,6,13,0,0,Deportes
84,26,5.49,22,2,1,1,Hogar
85,1,5.92,8,11,12,0,Hogar
86,30,1.1,7,35,13,0,Electronica
87,56,6.46,28,11,10,0,Libros
88,77,29.76,15,44,11,0,Libros
89,65,3.98,5,1,9,0,Hogar
90,28,17.82,27,1,2,0,Electronica
91,14,14.9,15,14,12,0,Electronica
92,11,29.87,5,22,10,0,Electronica
93,100,2.13,13,28,14,1,Deportes
94,27,56.97,20,16,0,0,Libros
95,83,13.11,0,31,14,1,Libros
96,102,80.97,24,6,8,0,Deportes
97,23,36.37,8,29,9,0,Ropa
98,20,3.76,24,27,7,1,Deportes
99,9,0.87,26,13,4,0,Electronica
100,109,4.43,23,43,12,0,Deportes
101,77,11.25,12,29,10,1,Electronica
102,100,2.82,25,16,1,0,Hogar
103,17,2.75,28,31,4,1,Electronica
104,87,9.32,18,45,5,0,Libros
105,13,0.51,16,5,13,0,Deportes
106,33,1.95,10,23,14,0,Electronica
107,57,8.06,27,5,0,0,Ropa
108,75,0.98,27,26,10,1,Hogar
109,21,7.58,7,17,3,1,Ropa
110,119,9.64,22,23,8,0,Ropa
111,69,9.0,28,36,1,0,Ropa
112,35,30.51,4,23,4,1,Hogar
113,44,11.33,9,37,0,0,Hogar
114,35,9.47,6,33,3,0,Hogar
115,21,7.93,9,39,3,0,Hogar
116,77,25.53,3,46,5,0,Ropa
117,79,33.82,8,14,9,1,Libros
118,60,28.78,26,10,8,1,Libros
119,99,16.79,25,21,2,0,Hogar
120,55,2.22,13,23,8,0,Deportes
121,88,4.86,1,0,5,0,Electronica
122,95,0.71,24,17,6,0,Deportes
123,32,40.07,8,43,11,0,Deportes
124,44,16.22,20,11,9,1,Deportes
125,35,20.58,26,42,1,0,Libros
126,19,5.6,0,27,10,0,Electronica
127,17,28.03,22,39,9,0,Deportes
128,37,4.51,9,6,13,0,Hogar
129,66,0.02,9,22,5,0,Libros
130,22,7.08,19,20,5,1,Hogar
131,95,12.69,24,33,1,0,Hogar
132,108,9.77,21,10,1,1,Deportes
133,15,29.72,28,21,13,0,Hogar
134,58,1.67,2,41,1,0,Electronica
135,68,12.11,5,34,9,0,Hogar
136,67,10.79,28,28,11,0,Deportes
137,20,4.96,25,41,0,0,Hogar
138,103,25.91,5,27,4,0,Libros
139,114,20.97,20,17,7,1,Libros
140,77,19.8,1,13,1,1,Libros
141,102,31.34,25,17,12,0,Ropa
142,94,19.24,25,27,14,0,Libros
143,77,3.96,17,23,4,0,Libros
144,69,18.34,22,7,11,0,Ropa
145,11,5.52,1,41,7,0,Libros
146,15,4.16,11,44,9,1,Deportes
147,80,1.14,21,7,13,0,Libros
148,108,20.44,4,3,4,0,Libros
149,86,18.62,19,26,1,0,Ropa
150,13,4.01,6,35,2,0,Deportes
151,60,20.76,23,4,14,1,Hogar
152,70,37.49,15,32,5,0,Electronica
153,45,1.71,19,48,10,0,Deportes
154,31,3.97,0,33,10,1,Hogar
155,14,20.81,0,29,4,0,Deportes
156,43,4.81,16,7,10,1,Hogar
157,16,14.7,26,38,3,0,Hogar
158,40,1.27,0,46,3,0,Deportes
159,53,9.03,20,25,4,1,Ropa
160,110,20.15,19,36,1,0,Deportes
161,43,17.4,12,33,8,0,Deportes
162,97,25.32,29,6,1,0,Hogar
163,4,31.49,8,39,9,0,Electronica
164,108,22.25,14,27,1,1,Hogar
165,26,16.7,2,38,9,1,Libros
166,115,0.48,13,38,13,1,Deportes
167,86,11.48,22,27,8,1,Deportes
168,103,0.58,10,13,13,0,Ropa
169,77,24.76,23,49,2,0,Hogar
170,78,5.8,21,37,14,0,Ropa
171,42,12.4,11,3,9,0,Deportes
172,96,4.92,12,41,6,0,Hogar
173,116,22.88,25,17,3,1,Hogar
174,30,32.64,12,43,12,0,Libros
175,98,7.63,0,47,12,0,Libros
176,16,29.81,23,24,5,0,Electronica
177,91,4.66,9,6,13,1,Libros
178,82,11.47,2,37,3,1,Hogar
179,109,29.36,23,27,9,1,Libros
180,53,5.92,27,4,14,0,Electronica
181,61,46.2,3,2,6,1,Deportes
182,86,1.95,15,43,0,0,Libros
183,31,0.28,7,30,2,1,Hogar
184,39,35.17,15,46,12,0,Deportes
185,12,1.07,26,41,2,0,Hogar
186,83,72.22,16,19,0,0,Deportes
187,34,45.36,18,18,5,1,Hogar
188,4,2.21,21,47,14,0,Libros
189,72,11.57,14,10,12,1,Libros
190,28,3.07,15,39,10,0,Electronica
191,69,8.38,14,2,13,0,Deportes
192,24,0.95,24,22,8,0,Electronica
193,94,3.8,1,6,7,0,Ropa
194,21,6.77,10,22,10,0,Libros
195,65,8.66,0,6,6,0,Deportes
196,44,56.91,14,45,9,1,Electronica
197,68,24.74,25,33,7,0,Electronica
198,90,20.06,18,41,5,1,Ropa
199,88,11.55,3,18,8,0,Electronica
200,71,27.49,10,8,2,1,Hogar
201,118,6.22,4,47,14,0,Libros
202,0,18.51,2,17,9,0,Electronica
203,83,76.21,12,40,9,0,Electronica
204,43,5.67,9,47,8,0,Ropa
205,86,16.81,10,44,3,1,Hogar
206,95,27.9,17,41,6,0,Electronica
207,74,37.12,1,24,14,0,Libros
208,38,18.98,6,13,12,1,Libros
209,110,5.0,8,43,8,0,Electronica
210,53,5.92,9,24,1,1,Hogar
211,87,0.31,17,18,1,0,Libros
212,74,21.46,22,38,8,1,Libros
213,28,0.66,6,14,11,0,Hogar
214,53,30.0,26,15,12,0,Hogar
215,89,1.89,6,26,2,0,Electronica
216,15,2.83,2,39,8,1,Deportes
217,98,9.71,11,9,12,0,Ropa
218,19,20.08,6,3,14,0,Deportes
219,45,2.24,16,18,4,1,Deportes
220,66,8.7,25,27,5,1,Libros
221,64,9.89,0,20,1,1,Hogar
222,57,3.58,4,46,7,1,Libros
223,52,1.84,15,13,10,0,Ropa
224,110,27.16,14,32,8,0,Electronica
225,0,10.47,1,47,1,1,Ropa
226,80,0.22,8,9,5,1,Libros
227,65,24.37,6,18,5,0,Libros
228,28,59.29,3,29,7,0,Libros
229,83,13.97,19,21,9,1,Libros
230,69,10.51,17,2,11,0,Deportes
231,7,31.61,20,36,4,0,Electronica
232,28,45.71,3,40,8,0,Deportes
233,111,21.07,27,17,0,0,Libros
234,50,8.84,12,10,8,1,Hogar
235,32,13.46,0,47,9,0,Deportes
236,2,18.11,27,1,6,1,Libros
237,59,3.24,23,11,3,0,Libros
238,34,8.89,2,5,2,0,Electronica
239,68,26.56,15,42,13,1,Ropa
240,90,15.95,29,39,9,0,Deportes
241,107,7.95,21,43,14,0,Deportes
242,75,16.33,3,28,10,0,Deportes
243,83,1.89,24,29,13,0,Libros
244,108,7.7,22,1,5,0,Electronica
245,19,23.63,24,8,11,1,Libros
246,72,3.74,15,46,12,1,Libros
247,38,3.09,25,1,0,1,Hogar
248,3,45.18,18,28,2,0,Electronica
249,114,3.53,0,32,1,0,Deportes
250,117,4.54,4,9,10,0,Ropa
251,18,52.41,18,33,12,0,Deportes
252,101,19.9,21,43,8,0,Libros
253,90,18.04,23,7,2,0,Electronica
254,44,28.75,10,36,12,1,Electronica
255,42,1.85,12,32,1,0,Electronica
256,12,18.36,19,46,3,0,Hogar
257,12,10.51,4,5,14,1,Deportes
258,59,26.5,20,43,13,0,Hogar
259,56,10.64,3,39,1,1,Ropa
260,85,14.52,3,44,0,1,Libros
261,91,9.74,3,18,5,1,Hogar
262,51,9.76,3,31,14,0,Hogar
263,110,21.91,19,26,9,1,Libros
264,52,14.86,20,0,7,0,Electronica
265,108,15.05,17,42,9,1,Libros
266,85,8.98,17,32,9,0,Deportes
267,42,11.36,15,39,1,0,Libros
268,82,20.54,8,31,13,0,Electronica
269,71,26.23,17,4,8,0,Libros
270,115,17.89,21,16,14,1,Hogar
271,71,38.67,1,7,12,1,Ropa
272,41,25.75,20,41,2,1,Hogar
