area,subarea,monto
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
soporte,A,15
ventas,A,100
ventas,A,120
ventas,B,90
marketing,A,40
marketing,B,60
marketing,B,30
soporte,C,20
soporte,C,25
