id_venta,fecha,tienda_id,region,categoria,producto_id,cantidad,precio_unitario,descuento_pct,monto,metodo_pago,cliente_id
57501,2026-08-19,20,Norte,Juguetes,4402,3,185.41,10,500.61,Online,8782
57502,2024-08-05,17,Sur,Deportes,368,2,835.27,5,1587.01,Tarjeta,81342
57503,2025-12-24,20,Centro,Hogar,344,10,1655.33,15,14070.3,Online,15124
57504,2024-09-20,23,Centro,Moda,4957,6,19.59,15,99.91,Tarjeta,31390
57505,2024-12-09,14,Norte,Deportes,738,4,618.83,0,2475.32,Online,18439
57506,2026-04-06,39,Centro,Electronica,610,8,1384.21,5,10520.0,Online,49757
57507,2025-06-04,21,Centro,Juguetes,4283,3,1571.9,0,4715.7,Efectivo,55567
57508,2026-12-01,48,Centro,Deportes,2648,4,1354.57,15,4605.54,Online,16127
57509,2026-11-07,9,Centro,Deportes,2534,7,1684.22,10,10610.59,Online,31501
57510,2025-03-07,26,Norte,Deportes,1157,9,594.55,0,5350.95,Efectivo,2639
57511,2024-11-25,8,Norte,Moda,1330,8,603.2,10,4343.04,Online,36253
57512,2024-10-02,26,Sur,Deportes,3559,3,1689.29,5,4814.48,Online,58966
57513,2026-07-25,39,Sur,Hogar,1387,1,1515.79,0,1515.79,Online,28132
57514,2025-12-27,35,Norte,Electronica,582,4,1142.16,5,4340.21,Online,13519
57515,2026-01-16,3,Norte,Juguetes,1027,5,145.67,5,691.93,Efectivo,39135
57516,2026-12-09,16,Norte,Hogar,993,10,1086.79,5,10324.5,Efectivo,80895
57517,2024-05-12,35,Norte,Hogar,3473,8,1020.68,15,6940.62,Tarjeta,49332
57518,2025-11-30,33,Centro,Deportes,3442,9,1919.96,5,16415.66,Online,42924
57519,2026-09-13,17,Norte,Hogar,1094,8,537.28,15,3653.5,Online,74454
57520,2025-08-07,9,Sur,Juguetes,1945,6,155.71,10,840.83,Efectivo,53885
57521,2026-03-21,14,Sur,Deportes,3527,5,1583.16,10,7124.22,Efectivo,7057
57522,2024-04-14,42,Norte,Electronica,1255,5,1496.98,15,6362.16,Tarjeta,22300
57523,2024-10-18,14,Sur,Hogar,1897,10,539.18,5,5122.21,Online,61971
57524,2024-08-19,7,Norte,Juguetes,2627,7,946.77,15,5633.28,Efectivo,38528
57525,2024-09-15,21,Centro,Juguetes,871,3,1172.53,0,3517.59,Efectivo,35716
57526,2026-08-14,22,Centro,Electronica,4156,9,755.79,15,5781.79,Efectivo,61164
57527,2024-04-21,40,Norte,Hogar,3687,2,1973.35,5,3749.36,Tarjeta,13821
57528,2026-12-04,37,Centro,Moda,3381,10,110.65,15,940.52,Tarjeta,30410
57529,2024-08-12,18,Sur,Deportes,4169,6,696.13,0,4176.78,Online,78477
57530,2026-06-22,12,Norte,Hogar,4766,3,318.06,0,954.18,Online,64569
57531,2026-07-06,22,Norte,Hogar,326,5,516.04,15,2193.17,Efectivo,69241
57532,2025-08-03,9,Sur,Moda,4036,9,303.71,0,2733.39,Efectivo,96636
57533,2026-01-05,19,Sur,Deportes,3108,5,90.43,0,452.15,Online,83947
57534,2025-07-14,5,Sur,Juguetes,1096,7,62.23,15,370.27,Online,15443
57535,2026-09-29,29,Centro,Hogar,2503,2,69.36,0,138.72,Online,89795
57536,2026-06-05,13,Sur,Electronica,2970,8,1812.96,5,13778.5,Efectivo,9974
57537,2025-01-14,39,Sur,Deportes,4958,1,1573.74,0,1573.74,Efectivo,19678
57538,2025-04-01,27,Centro,Moda,270,10,1328.14,5,12617.33,Tarjeta,54760
57539,2024-03-24,13,Centro,Electronica,592,10,1744.28,10,15698.52,Tarjeta,29492
57540,2024-12-24,37,Sur,Juguetes,2852,6,120.08,0,720.48,Tarjeta,70314
57541,2024-02-27,27,Sur,Deportes,3204,9,1111.63,5,9504.44,Tarjeta,50837
57542,2025-11-14,20,Norte,Electronica,1998,10,312.32,0,3123.2,Tarjeta,73999
57543,2025-03-12,2,Centro,Deportes,829,10,124.79,5,1185.51,Online,42723
57544,2026-10-10,19,Norte,Electronica,3769,2,862.36,5,1638.48,Online,93469
57545,2026-05-23,44,Sur,Moda,2156,10,585.52,10,5269.68,Tarjeta,53044
57546,2026-02-02,22,Centro,Juguetes,1771,8,284.13,5,2159.39,Efectivo,738
57547,2026-04-19,43,Sur,Moda,2116,2,846.68,5,1608.69,Online,94425
57548,2025-10-10,37,Norte,Moda,4665,6,1762.7,15,8989.77,Tarjeta,59160
57549,2025-06-01,11,Sur,Deportes,2700,6,657.63,10,3551.2,Online,10967
57550,2026-02-25,44,Centro,Moda,1990,9,60.81,5,519.93,Efectivo,89979
57551,2024-03-26,41,Sur,Electronica,579,7,437.26,10,2754.74,Tarjeta,31440
57552,2026-05-28,24,Centro,Moda,615,10,299.85,15,2548.72,Tarjeta,2378
57553,2026-09-06,19,Sur,Moda,3189,8,941.76,5,7157.38,Efectivo,60059
57554,2025-10-28,21,Centro,Electronica,1872,2,1387.36,10,2497.25,Online,53800
57555,2024-09-20,37,Sur,Deportes,4209,10,10.86,0,108.6,Efectivo,44428
57556,2024-11-18,3,Sur,Moda,4051,3,1514.62,15,3862.28,Online,25493
57557,2024-01-11,11,Norte,Electronica,1090,10,813.12,15,6911.52,Online,18439
57558,2024-09-19,8,Norte,Juguetes,136,10,1270.88,5,12073.36,Efectivo,85767
57559,2026-11-13,13,Centro,Electronica,2065,2,1348.53,0,2697.06,Tarjeta,39562
57560,2026-06-26,44,Norte,Hogar,2094,9,714.21,10,5785.1,Efectivo,76993
57561,2026-04-19,8,Sur,Deportes,792,7,51.86,0,363.02,Tarjeta,32041
57562,2025-03-29,37,Sur,Hogar,3084,2,947.84,10,1706.11,Efectivo,40269
57563,2024-10-06,13,Centro,Deportes,1868,6,1213.18,15,6187.22,Tarjeta,21666
57564,2025-07-03,30,Sur,Deportes,29,4,804.4,10,2895.84,Efectivo,81779
57565,2024-07-17,5,Norte,Moda,129,2,312.36,15,531.01,Efectivo,75233
57566,2025-10-31,35,Norte,Moda,922,3,1798.74,15,4586.79,Tarjeta,89984
57567,2024-10-12,27,Norte,Electronica,4191,3,1246.35,10,3365.14,Online,2893
57568,2026-06-03,45,Sur,Juguetes,1887,10,1780.62,10,16025.58,Tarjeta,55200
57569,2024-09-14,29,Norte,Juguetes,1362,7,1733.12,5,11525.25,Online,67113
